Epoch [10/100], Training Loss: 0.6673, Training Accuracy: 57.27%, Validation Accuracy: 56.03%
Epoch [20/100], Training Loss: 0.5745, Training Accuracy: 65.39%, Validation Accuracy: 52.59%
Epoch [30/100], Training Loss: 0.5263, Training Accuracy: 70.46%, Validation Accuracy: 56.90%
Epoch [40/100], Training Loss: 0.4471, Training Accuracy: 78.39%, Validation Accuracy: 63.79%
Epoch [50/100], Training Loss: 0.2849, Training Accuracy: 86.71%, Validation Accuracy: 64.66%
Epoch [60/100], Training Loss: 0.2248, Training Accuracy: 90.06%, Validation Accuracy: 67.24%
Epoch [70/100], Training Loss: 0.1937, Training Accuracy: 91.11%, Validation Accuracy: 70.69%
Epoch [80/100], Training Loss: 0.1625, Training Accuracy: 93.59%, Validation Accuracy: 68.97%
Epoch [90/100], Training Loss: 0.1114, Training Accuracy: 95.32%, Validation Accuracy: 73.28%
Epoch [10/500], Training Loss: 0.6799, Training Accuracy: 52.29%, Validation Accuracy: 52.59%
Epoch [20/500], Training Loss: 0.5985, Training Accuracy: 62.91%, Validation Accuracy: 58.62%
Epoch [30/500], Training Loss: 0.5414, Training Accuracy: 71.41%, Validation Accuracy: 51.72%
Epoch [40/500], Training Loss: 0.4838, Training Accuracy: 75.62%, Validation Accuracy: 55.17%
Epoch [50/500], Training Loss: 0.4047, Training Accuracy: 79.16%, Validation Accuracy: 57.76%
Epoch [60/500], Training Loss: 0.2850, Training Accuracy: 86.14%, Validation Accuracy: 60.34%
Epoch [70/500], Training Loss: 0.2708, Training Accuracy: 86.71%, Validation Accuracy: 67.24%
Epoch [80/500], Training Loss: 0.1723, Training Accuracy: 93.50%, Validation Accuracy: 68.97%
Epoch [90/500], Training Loss: 0.1379, Training Accuracy: 94.17%, Validation Accuracy: 70.69%
Epoch [100/500], Training Loss: 0.0989, Training Accuracy: 95.79%, Validation Accuracy: 72.41%
Epoch [110/500], Training Loss: 0.0971, Training Accuracy: 95.51%, Validation Accuracy: 76.72%
Epoch [120/500], Training Loss: 0.0897, Training Accuracy: 96.37%, Validation Accuracy: 72.41%
Epoch [130/500], Training Loss: 0.0382, Training Accuracy: 98.47%, Validation Accuracy: 75.86%
Epoch [140/500], Training Loss: 0.0333, Training Accuracy: 98.57%, Validation Accuracy: 74.14%
Epoch [150/500], Training Loss: 0.0573, Training Accuracy: 97.51%, Validation Accuracy: 73.28%
Epoch [160/500], Training Loss: 0.0318, Training Accuracy: 98.85%, Validation Accuracy: 74.14%
Epoch [170/500], Training Loss: 0.0283, Training Accuracy: 98.95%, Validation Accuracy: 75.00%
Epoch [180/500], Training Loss: 0.0432, Training Accuracy: 98.66%, Validation Accuracy: 73.28%
Epoch [190/500], Training Loss: 0.0676, Training Accuracy: 97.51%, Validation Accuracy: 75.00%
Epoch [200/500], Training Loss: 0.0276, Training Accuracy: 98.85%, Validation Accuracy: 75.86%
Epoch [210/500], Training Loss: 0.0442, Training Accuracy: 98.57%, Validation Accuracy: 70.69%
Epoch [220/500], Training Loss: 0.0492, Training Accuracy: 98.09%, Validation Accuracy: 74.14%
Epoch [230/500], Training Loss: 0.0324, Training Accuracy: 99.04%, Validation Accuracy: 74.14%
Epoch [240/500], Training Loss: 0.0397, Training Accuracy: 98.85%, Validation Accuracy: 75.00%
Epoch [250/500], Training Loss: 0.0559, Training Accuracy: 97.90%, Validation Accuracy: 73.28%
Epoch [260/500], Training Loss: 0.0282, Training Accuracy: 98.95%, Validation Accuracy: 72.41%
Epoch [270/500], Training Loss: 0.0268, Training Accuracy: 98.95%, Validation Accuracy: 73.28%
Epoch [280/500], Training Loss: 0.0201, Training Accuracy: 99.24%, Validation Accuracy: 73.28%
Epoch [290/500], Training Loss: 0.0465, Training Accuracy: 98.76%, Validation Accuracy: 74.14%
